uniq_pair,layer_from,node_from,layer_to,node_to,length,pident,plasmid.length.query,plasmid.length.subject,edge_type,weight
L11N3640_L17N414,11,3640,17,414,1442,99.653,2103,2220,Inter,0.6472956126126127
L11N3640_L17N724,11,3640,17,724,2095,95.227,2103,2091,Inter,0.9486474797907751
L11N3640_L18N6762,11,3640,18,6762,1439,98.054,2103,2091,Inter,0.670944869234427
L11N3640_L21N7682,11,3640,21,7682,1382,99.132,2103,2134,Inter,0.6419888659793815
L11N3640_L22N8197,11,3640,22,8197,1114,98.384,2103,2091,Inter,0.5211591821207798
L11N3640_L5N414,11,3640,5,414,1442,99.653,2103,2220,Inter,0.6472956126126127
L11N3640_L6N724,11,3640,6,724,2095,95.227,2103,2091,Inter,0.9486474797907751
L11N3640_L8N1515,11,3640,8,1515,1376,99.201,2103,2416,Inter,0.5649858278145695
L11N3640_L9N2639,9,2639,11,3640,1910,100,2078,2103,Inter,0.908226343319068
L11N3641_L13N4638,11,3641,13,4638,1308,97.783,2095,2114,Inter,0.6050149668874172
L11N3641_L8N2637,11,3641,8,2637,1656,99.457,2095,2094,Inter,0.7861612983293556
L11N3641_L9N2637,11,3641,9,2637,1656,99.457,2095,2094,Inter,0.7861612983293556
L11N3642_L12N4142,11,3642,12,4142,1625,99.877,2090,2104,Inter,0.7713884268060837
L11N3642_L17N6116,11,3642,17,6116,1403,99.786,2090,2104,Inter,0.6653980893536122
L11N3642_L22N8194,22,8194,11,3642,1554,99.743,2104,2090,Inter,0.7366949714828896
L11N3642_L9N2635,9,2635,11,3642,1968,99.898,2105,2090,Inter,0.9339632494061757
L11N3644_L8N1598,8,1598,11,3644,1843,100,2072,2072,Inter,0.8894787644787645
L11N3645_L9N2649,9,2649,11,3645,1648,100,2048,2048,Inter,0.8046875
L11N3647_L22N8212,22,8212,11,3647,1995,99.85,2004,2038,Inter,0.9774325318940137
L11N3647_L8N1605,8,1605,11,3647,1993,99.799,2035,2038,Inter,0.9759539106967616
L11N3651_L9N2631,9,2631,11,3651,1906,99.948,2113,2007,Inter,0.9015659630856602
L11N3652_L8N1613,11,3652,8,1613,1504,99.934,2002,2001,Inter,0.7507529270729271
L11N3652_L9N2656,9,2656,11,3652,1256,99.841,2002,2002,Inter,0.6263751048951048
L11N4135_L15N5090,11,4135,15,5090,2157,98.702,2157,2075,Inter,0.98702
L11N4135_L21N7680,11,4135,21,7680,1971,100,2157,2157,Inter,0.913769123783032
L11N4135_L5N420,11,4135,5,420,1312,97.18,2157,2154,Inter,0.5910994900324525
L11N4135_L8N1574,11,4135,8,1574,1518,96.706,2157,2154,Inter,0.680573518776078
L11N4135_L9N2624,9,2624,11,4135,1144,100,2157,2157,Inter,0.5303662494204914
L11N431_L9N2650,11,431,9,2650,2047,100,2054,2047,Inter,0.9965920155793574
L11N5286_L17N6028,17,6028,11,5286,1104,97.826,2967,2873,Inter,0.36400372093023253
L11N5286_L21N7601,11,5286,21,7601,1018,99.411,2873,3006,Inter,0.6187623353293413
L11N5286_L21N7604,21,7604,11,5286,617,96.434,2965,2873,Inter,0.20067378752107926
L11N5286_L22N8120,22,8120,11,5286,1686,99.051,2985,2873,Inter,0.8475722512562814
L11N5286_L3N199,3,199,11,5286,839,91.18,3246,2873,Inter,0.2356747381392483
L11N5286_L8N1409,8,1409,11,5286,1375,96.291,3077,2873,Inter,0.43028964900877475
L11N5286_L9N1409,9,1409,11,5286,1375,96.291,3077,2873,Inter,0.43028964900877475
L11N54_L17N5990,11,54,17,5990,2566,100,3928,3928,Inter,0.6532586558044806
L11N54_L8N54,11,54,8,54,3928,100,3928,3928,Inter,1
L11N54_L9N54,11,54,9,54,3928,100,3928,3928,Inter,1
L11N58_L20N7224,11,58,20,7224,2405,99.667,2668,2865,Inter,0.8366461954624782
L11N58_L8N3576,8,3576,11,58,2668,100,2676,2668,Inter,0.9970104633781763
L11N58_L8N58,11,58,8,58,2668,100,2668,2668,Inter,1
L11N61_L8N61,8,61,11,61,2243,100,2243,2243,Inter,1
L11N61_L9N2612,9,2612,11,61,1651,100,2243,2243,Inter,0.7360677663843067
L11N62_L8N62,8,62,11,62,2197,100,2197,2197,Inter,1
L11N62_L9N65,11,62,9,65,2142,100,2197,2197,Inter,0.9749658625398271
L11N63_L8N63,8,63,11,63,2121,100,2121,2121,Inter,1
L11N66_L8N1589,8,1589,11,66,1930,99.948,2100,2100,Inter,0.9185697142857142
L11N66_L9N1589,9,1589,11,66,1930,99.948,2100,2100,Inter,0.9185697142857142
L11N66_L9N66,9,66,11,66,2100,100,2100,2100,Inter,1
L11N72_L9N72,9,72,11,72,3240,100,3240,3240,Inter,1
L11N75_L8N1402,11,75,8,1402,3203,99.719,3203,3140,Inter,0.9971899999999999
L11N75_L8N75,8,75,11,75,3203,100,3203,3203,Inter,1
L11N75_L9N75,9,75,11,75,3203,100,3203,3203,Inter,1
L11N77_L22N8110,11,77,22,8110,2402,100,3231,3231,Inter,0.7434230888269886
L11N77_L8N1389,11,77,8,1389,3175,100,3231,3231,Inter,0.9826679046734758
L11N77_L9N2526,11,77,9,2526,3194,99.969,3231,3231,Inter,0.9882419870009285
L11N78_L12N56,12,56,11,78,3106,100,3106,3126,Inter,0.9936020473448497
L11N78_L12N78,12,78,11,78,3126,100,3126,3126,Inter,1
L11N78_L16N5276,16,5276,11,78,1686,100,3104,3126,Inter,0.5393474088291746
L11N78_L16N78,16,78,11,78,3126,100,3126,3126,Inter,1
L11N78_L17N5984,17,5984,11,78,3031,99.868,6320,3126,Inter,0.47895555063291134
L11N78_L18N78,11,78,18,78,3126,100,3126,3126,Inter,1
L11N78_L21N7595,21,7595,11,78,3126,99.968,3126,3126,Inter,0.99968
L11N78_L22N78,11,78,22,78,3126,100,3126,3126,Inter,1
L11N78_L8N56,8,56,11,78,3106,100,3106,3126,Inter,0.9936020473448497
L11N78_L8N78,8,78,11,78,3126,100,3126,3126,Inter,1
L12N141_L12N294,12,141,12,294,2208,100,2449,2449,Intra,0.9015924867292773
L12N141_L13N4619,12,141,13,4619,1808,100,2449,2312,Inter,0.9665169456921192
L12N141_L16N5335,12,141,16,5335,2449,99.388,2449,2380,Inter,0.9938800000000001
L12N141_L17N6072,12,141,17,6072,1443,99.584,2449,2470,Inter,0.5817802105263159
L12N141_L17N6075,12,141,17,6075,1459,100,2449,2449,Inter,0.5957533687219273
L12N141_L20N7250,12,141,20,7250,1459,100,2449,2449,Inter,0.5957533687219273
L12N141_L22N8165,22,8165,12,141,1421,100,2411,2449,Inter,0.5802368313597387
L12N141_L4N294,12,141,4,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N141_L5N415,12,141,5,415,1422,100,2449,2220,Inter,0.5806451612903226
L12N141_L8N1486,12,141,8,1486,1947,99.538,2449,2586,Inter,0.7494218329466357
L12N1424_L12N7700,12,7700,12,1424,598,80.936,2068,2983,Intra,0.1622518538384177
L12N1424_L21N7700,21,7700,12,1424,598,80.936,2068,2983,Inter,0.1622518538384177
L12N1424_L9N2538,12,1424,9,2538,2983,99.933,2983,2983,Inter,0.99933
L12N197_L13N4593,12,197,13,4593,2601,99.654,5167,2570,Inter,0.5016451596671182
L12N197_L9N2562,12,197,9,2562,2776,99.856,5167,2775,Inter,0.5364820127733694
L12N294_L13N141,13,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L13N4619,12,294,13,4619,2050,100,2449,2312,Inter,0.8370763576970192
L12N294_L16N141,16,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L16N5335,12,294,16,5335,2449,99.388,2449,2380,Inter,0.9938800000000001
L12N294_L17N141,17,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L17N6072,12,294,17,6072,1295,99.923,2449,2470,Inter,0.5238877935222672
L12N294_L17N6075,12,294,17,6075,1295,99.923,2449,2449,Inter,0.5283800939158841
L12N294_L18N141,18,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L1N141,1,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L20N141,20,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L20N7250,12,294,20,7250,1295,99.846,2449,2449,Inter,0.5279729277256023
L12N294_L21N141,21,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L22N141,22,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L22N8165,22,8165,12,294,1287,99.922,2411,2449,Inter,0.5251107145773786
L12N294_L5N141,5,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L5N415,12,294,5,415,1180,100,2449,2220,Inter,0.9293596284197632
L12N294_L8N141,8,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N294_L8N1486,12,294,8,1486,2189,99.589,2449,2586,Inter,0.84300201469450875
L12N294_L9N141,9,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L12N297_L20N7294,20,7294,12,297,1895,99.631,2009,2009,Inter,0.9397747386759582
L12N297_L21N7711,21,7711,12,297,1480,99.392,2011,2009,Inter,0.7314776727996022
L12N297_L22N8211,12,297,22,8211,1327,100,2009,2008,Inter,0.6605276256844201
L12N33_L16N33,12,33,16,33,2580,100,2580,2580,Inter,1
L12N33_L16N5312,16,5312,12,33,2570,99.961,2570,2580,Inter,0.9957355426356589
L12N33_L17N6061,12,33,17,6061,2569,100,2580,2569,Inter,0.9957364341085271
L12N33_L20N33,12,33,20,33,2580,100,2580,2580,Inter,1
L12N33_L21N7629,12,33,21,7629,1547,100,2580,2580,Inter,0.5996124031007752
L12N33_L22N8155,22,8155,12,33,2581,99.961,2581,2580,Inter,0.99961
L12N33_L6N33,12,33,6,33,2580,100,2580,2580,Inter,1
L12N385_L16N5267,12,385,16,5267,2425,98.928,2978,3271,Inter,0.7334160807092631
L12N385_L18N6717,12,385,18,6717,2732,99.305,2978,3052,Inter,0.8889294233289646
L12N385_L21N7599,21,7599,12,385,3052,98.657,3052,2978,Inter,0.98657
L12N3952_L13N289,12,3952,13,289,6615,99.97,6709,6709,Inter,0.9856931733492323
L12N3952_L13N4543,13,4543,12,3952,4663,100,6829,6709,Inter,0.6828232537706839
L12N3952_L14N108,12,3952,14,108,4746,100,6709,6709,Inter,0.7074079594574452
L12N3952_L15N108,12,3952,15,108,4746,100,6709,6709,Inter,0.7074079594574452
L12N3952_L16N108,12,3952,16,108,4746,100,6709,6709,Inter,0.7074079594574452
L12N3952_L16N289,12,3952,16,289,6615,99.97,6709,6709,Inter,0.9856931733492323
L12N3952_L16N4543,16,4543,12,3952,4663,100,6829,6709,Inter,0.6828232537706839
L12N3952_L16N6702,16,6702,12,3952,4381,100,6709,6709,Inter,0.6530034282307349
L12N3952_L17N5983,17,5983,12,3952,5483,100,6709,6709,Inter,0.8172603964823372
L12N3952_L18N6702,12,3952,18,6702,4381,100,6709,6709,Inter,0.6530034282307349
L12N3952_L19N7146,12,3952,19,7146,6657,100,6709,6709,Inter,0.9922492174690714
L12N3952_L21N7573,21,7573,12,3952,4564,100,6611,6709,Inter,0.6802802205991951
L12N3952_L22N4543,22,4543,12,3952,4663,100,6829,6709,Inter,0.6828232537706839
L12N3952_L4N289,12,3952,4,289,6615,99.97,6709,6709,Inter,0.9856931733492323
L12N3959_L16N5263,12,3959,16,5263,1447,97.581,4100,3374,Inter,0.3443895292682927
L12N3959_L17N6008,12,3959,17,6008,1691,99.882,4100,3373,Inter,0.8217084439024389
L12N3959_L20N7211,20,7211,12,3959,1589,99.874,3336,4100,Inter,0.3870726487804878
L12N3959_L22N8111,12,3959,22,8111,1761,99.773,4100,3228,Inter,0.4285372024390244
L12N3963_L17N6001,12,3963,17,6001,2930,99.693,3817,3582,Inter,0.7652619596541786
L12N3963_L18N6709,18,6709,12,3963,2480,98.508,3578,3817,Inter,0.6400310191249672
L12N3963_L20N7209,12,3963,20,7209,2967,99.697,3817,3792,Inter,0.7749567697144355
L12N3963_L22N8103,12,3963,22,8103,3551,99.521,3817,3550,Inter,0.9258555698192298
L12N3963_L4N290,4,290,12,3963,3325,99.91,3572,3817,Inter,0.8703189677757401
L12N3963_L8N1354,8,1354,12,3963,2485,99.678,3572,3817,Inter,0.6489385119203563
L12N3965_L12N4059,12,4059,12,3965,838,90.573,2606,3766,Intra,0.20154055762081782
L12N3965_L21N7615,12,3965,21,7615,852,92.254,3766,2772,Inter,0.20871058948486457
L12N3965_L22N8148,22,8148,12,3965,838,90.573,2598,3766,Inter,0.20154055762081782
L12N3966_L12N3972,12,3966,12,3972,1290,94.729,3753,3658,Intra,0.32560727418065544
L12N3966_L17N5993,12,3966,17,5993,2597,99.884,3753,3753,Inter,0.6911770530242471
L12N3971_L5N377,5,377,12,3971,2706,99.963,3664,3664,Inter,0.7382638591703057
L12N3972_L17N5993,17,5993,12,3972,1212,94.554,3753,3658,Inter,0.6104436397548628
L12N3973_L16N5266,12,3973,16,5266,2494,100,3645,3304,Inter,0.6842249657064472
L12N3973_L22N8108,12,3973,22,8108,2446,100,3645,3304,Inter,0.6710562414266118
L12N3976_L21N7587,21,7587,12,3976,936,94.338,3263,3595,Inter,0.2456199388038943
L12N3976_L22N8112,22,8112,12,3976,936,93.803,3228,3595,Inter,0.24422700417246176
L12N3977_L15N17,15,17,12,3977,3467,99.913,3636,3573,Inter,0.9526907893289328
L12N3977_L21N26,21,26,12,3977,2734,99.927,3528,3573,Inter,0.7646247355163728
L12N3977_L22N8102,12,3977,22,8102,3466,99.942,3573,3634,Inter,0.9532167638965328
L12N3977_L5N17,5,17,12,3977,3467,99.913,3636,3573,Inter,0.9526907893289328
L12N3977_L6N26,6,26,12,3977,2734,99.927,3528,3573,Inter,0.7646247355163728
L12N3984_L9N2505,9,2505,12,3984,2380,99.496,3463,3463,Inter,0.6838015593416112
L12N3989_L9N2506,9,2506,12,3989,1528,99.673,3460,3410,Inter,0.4401744046242775
L12N3990_L12N4,12,4,12,3990,2946,100,3385,3385,Intra,0.8703101920236337
L12N3990_L17N4,12,3990,17,4,2946,100,3385,3385,Inter,0.8703101920236337
L12N3990_L20N4,20,4,12,3990,2946,100,3385,3385,Inter,0.8703101920236337
L12N3990_L20N7210,12,3990,20,7210,1755,100,3385,3385,Inter,0.518463810930576
L12N3990_L3N4,12,3990,3,4,2946,100,3385,3385,Inter,0.8703101920236337
L12N3991_L17N6007,17,6007,12,3991,3356,100,3376,3355,Inter,0.9940758293838863
L12N3994_L16N5265,12,3994,16,5265,2917,100,3308,3308,Inter,0.8818016928657799
L12N3994_L17N6009,17,6009,12,3994,2871,99.965,3309,3308,Inter,0.8673300543970988
L12N3994_L21N7590,12,3994,21,7590,2987,100,3308,3202,Inter,0.902962515114873
L12N3996_L17N6010,17,6010,12,3996,2334,99.957,3279,3279,Inter,0.7114963037511436
L12N3996_L8N1383,8,1383,12,3996,2100,100,3279,3279,Inter,0.6404391582799634
L12N4_L17N4,12,4,17,4,3385,100,3385,3385,Inter,1
L12N4_L20N4,12,4,20,4,3385,100,3385,3385,Inter,1
L12N4_L20N7210,20,7210,12,4,2125,100,3385,3385,Inter,0.6277695716395865
L12N4_L3N4,12,4,3,4,3385,100,3385,3385,Inter,1
L12N4000_L22N8109,12,4000,22,8109,3059,100,3255,3255,Inter,0.9397849462365592
L12N4001_L21N7594,12,4001,21,7594,3212,97.727,3212,3148,Inter,0.9772700000000001
L12N4002_L5N379,12,4002,5,379,1538,99.74,3207,3366,Inter,0.910875698158051
L12N4005_L16N5262,16,5262,12,4005,1011,98.813,3375,3166,Inter,0.29599983111111117
L12N4005_L17N6006,12,4005,17,6006,1905,99.108,3166,3385,Inter,0.5577569867060561
L12N4005_L18N6712,12,4005,18,6712,2767,99.386,3166,3383,Inter,0.8128911084835944
L12N4005_L22N8105,12,4005,22,8105,2052,99.22,3166,3383,Inter,0.6018310375406445
L12N4005_L9N2512,9,2512,12,4005,696,99.713,3385,3166,Inter,0.2050228892171344
L12N4007_L17N6036,17,6036,12,4007,881,95.687,2832,3163,Inter,0.6497002529244389
L12N4007_L21N7592,12,4007,21,7592,3142,99.905,3163,3163,Inter,0.9924170407840658
L12N4007_L5N689,12,4007,5,689,2153,99.954,3163,3163,Inter,0.6803697818526715
L12N4007_L6N689,12,4007,6,689,2153,99.954,3163,3163,Inter,0.6803697818526715
L12N4007_L8N55,12,4007,8,55,2754,100,3163,3159,Inter,0.8706923806512804
L12N4008_L17N6014,12,4008,17,6014,1664,100,3143,3143,Inter,0.5294304804327076
L12N4009_L13N4556,12,4009,13,4556,1255,99.522,3133,3019,Inter,0.39865978295563365
L12N4009_L16N5272,12,4009,16,5272,1771,99.379,3133,3130,Inter,0.5617625566549633
L12N4010_L22N8114,12,4010,22,8114,2477,99.637,3115,3156,Inter,0.7820052249683143
L12N4011_L17N6015,12,4011,17,6015,1778,100,3096,3136,Inter,0.5669642857142857
L12N4011_L20N7215,12,4011,20,7215,3076,100,3096,3136,Inter,0.9808673469387755
L12N4011_L22N8094,12,4011,22,8094,3096,100,3096,6559,Inter,0.47202317426436957
L12N4012_L13N4553,12,4012,13,4553,2051,99.951,3088,3089,Inter,0.6636435772094529
L12N4012_L18N6714,12,4012,18,6714,2514,99.96,3088,3088,Inter,0.8137935233160621
L12N4012_L22N8117,22,8117,12,4012,2148,99.907,3052,3088,Inter,0.6949489507772021
L12N4014_L13N4554,12,4014,13,4554,2768,99.819,3066,3066,Inter,0.9011708806262231
L12N4014_L17N6019,12,4014,17,6019,2337,99.914,3066,3066,Inter,0.7615754011741683
L12N4015_L8N1413,12,4015,8,1413,1844,98.861,3054,3053,Inter,0.5969210347085788
L12N4016_L17N6024,12,4016,17,6024,1793,99.777,3031,3032,Inter,0.5900401088390502
L12N4016_L22N8119,22,8119,12,4016,1959,99.898,3031,3031,Inter,0.6456620983173871
L12N4017_L17N6017,12,4017,17,6017,2206,100,3001,3088,Inter,0.9375
L12N4019_L13N4558,12,4019,13,4558,1873,99.947,2989,2989,Inter,0.6262988658414186
L12N4019_L17N6027,12,4019,17,6027,2835,99.929,2989,2989,Inter,0.9478043325526933
L12N4020_L13N4559,12,4020,13,4559,2703,100,2985,2985,Inter,0.9055276381909547
L12N4020_L20N22,20,22,12,4020,2380,100,2985,2985,Inter,0.7973199329983249
L12N4020_L5N22,5,22,12,4020,2380,100,2985,2985,Inter,0.7973199329983249
L12N4020_L6N690,6,690,12,4020,1665,100,2985,2985,Inter,0.5577889447236181
L12N4021_L13N4560,12,4021,13,4560,1670,99.76,2984,2984,Inter,0.5583083109919571
L12N4021_L20N7218,12,4021,20,7218,2641,99.924,2984,2984,Inter,0.8843809785522788
L12N4021_L22N8121,12,4021,22,8121,1840,99.891,2984,2984,Inter,0.6159498659517426
L12N4023_L22N8125,22,8125,12,4023,2652,100,2911,2911,Inter,0.9110271384403985
L12N4024_L8N1432,8,1432,12,4024,2631,99.924,2900,2900,Inter,0.906551875862069
L12N4024_L9N2552,9,2552,12,4024,1741,99.885,2900,2900,Inter,0.5996544310344828
L12N4026_L22N8131,12,4026,22,8131,2200,100,2873,2873,Inter,0.7657500870170554
L12N4028_L21N7626,12,4028,21,7626,2619,99.084,2857,2612,Inter,0.9082989009450473
L12N4029_L12N408,12,408,12,4029,1026,94.639,2312,2850,Intra,0.34070039999999996
L12N4029_L13N4581,12,4029,13,4581,910,93.077,2850,2629,Inter,0.29719322807017545
L12N4029_L13N4604,12,4029,13,4604,1731,98.498,2850,2456,Inter,0.5982457473684211
L12N4029_L20N7255,20,7255,12,4029,1648,99.029,2422,2850,Inter,0.5726308491228069
L12N4029_L22N408,22,408,12,4029,1026,94.639,2312,2850,Inter,0.34070039999999996
L12N4029_L22N8173,12,4029,22,8173,1026,94.639,2850,2350,Inter,0.34070039999999996
L12N4029_L5N408,12,4029,5,408,1026,94.639,2850,2312,Inter,0.34070039999999996
L12N4032_L16N5288,12,4032,16,5288,2604,100,2837,2837,Inter,0.9178709904829044
L12N4032_L22N8134,12,4032,22,8134,2003,99.95,2837,2811,Inter,0.7056744800845964
L12N4033_L17N375,12,4033,17,375,2835,100,2835,5883,Inter,0.4818969913309536
L12N4033_L17N6022,12,4033,17,6022,2835,100,2835,3055,Inter,0.9279869067103109
L12N4033_L20N7238,12,4033,20,7238,2616,100,2835,2617,Inter,0.9227513227513228
L12N4033_L5N375,12,4033,5,375,2835,100,2835,5883,Inter,0.4818969913309536
L12N4035_L22N8133,22,8133,12,4035,2659,100,2829,2829,Inter,0.9399080947331212
L12N4036_L13N4568,12,4036,13,4568,1872,99.359,2808,2809,Inter,0.662157522249911
L12N4036_L16N5289,16,5289,12,4036,2604,98.233,2829,2808,Inter,0.9042019512195123
L12N4037_L16N5290,12,4037,16,5290,2039,100,2797,2797,Inter,0.7289953521630318
L12N4037_L17N23,17,23,12,4037,2741,100,2797,2797,Inter,0.9799785484447623
L12N4037_L20N7227,12,4037,20,7227,2741,100,2797,2797,Inter,0.9799785484447623
L12N4037_L21N7613,12,4037,21,7613,2190,99.954,2797,2797,Inter,0.782621594565606
L12N4037_L22N8136,12,4037,22,8136,1594,100,2797,2797,Inter,0.5698963174830175
L12N4037_L5N23,5,23,12,4037,2741,100,2797,2797,Inter,0.9799785484447623
L12N404_L12N4093,12,4093,12,404,2081,99.904,2365,2365,Intra,0.8790707145877378
L12N404_L16N5337,16,5337,12,404,1918,99.896,2365,2365,Inter,0.8101502241014799
L12N404_L18N6749,12,404,18,6749,2064,100,2365,2365,Inter,0.8727272727272727
L12N404_L20N7265,12,404,20,7265,2060,100,2365,2365,Inter,0.8710359408033826
L12N404_L21N7650,21,7650,12,404,2137,99.906,2365,2365,Inter,0.9027447019027485
L12N4040_L17N6039,12,4040,17,6039,1660,100,2771,2771,Inter,0.5990617105738001
L12N4040_L18N6721,12,4040,18,6721,1930,100,2771,2771,Inter,0.6964994586791772
L12N4040_L21N7616,12,4040,21,7616,2282,100,2771,2771,Inter,0.8235294117647058
L12N4040_L5N391,5,391,12,4040,2214,100,2771,2771,Inter,0.7989895344640924
L12N4042_L13N4570,13,4570,12,4042,2661,99.925,2746,2746,Inter,0.9683191005098325
L12N4042_L16N5294,16,5294,12,4042,1738,99.77,2746,2746,Inter,0.6314648943918426
L12N4042_L17N6040,17,6040,12,4042,1738,99.942,2746,2746,Inter,0.6325535178441368
L12N4042_L20N7269,12,4042,20,7269,2298,99.956,2746,2295,Inter,0.8364853896576838
L12N4043_L13N4571,13,4571,12,4043,2673,99.963,2745,2745,Inter,0.9734101967213113
L12N4043_L20N7233,12,4043,20,7233,2745,99.308,2745,2672,Inter,0.9930800000000001
L12N4045_L16N5283,12,4045,16,5283,2269,100,2730,2888,Inter,0.7856648199445984
L12N4045_L9N2554,9,2554,12,4045,2049,100,2864,2730,Inter,0.9560054120111732
L12N4047_L20N7234,20,7234,12,4047,2224,100,2669,2710,Inter,0.8206642066420664
L12N4048_L13N4574,13,4574,12,4048,1954,100,2705,2705,Inter,0.7223659889094269
L12N4048_L17N6047,12,4048,17,6047,1141,100,2705,2639,Inter,0.42181146025878
L12N4048_L22N8142,12,4048,22,8142,2329,97.424,2705,2681,Inter,0.8388188391866914
L12N4052_L17N6050,12,4052,17,6050,2635,99.583,2648,2631,Inter,0.9909411064954683
L12N4054_L16N5301,12,4054,16,5301,1668,100,2633,2633,Inter,0.6334979111279909
L12N4054_L17N6049,12,4054,17,6049,1801,100,2633,2633,Inter,0.684010634257501
L12N4054_L21N7625,12,4054,21,7625,2462,99.959,2633,2633,Inter,0.934671697683251
L12N4055_L15N5076,12,4055,15,5076,2187,100,2621,2719,Inter,0.8043398308201545
L12N4055_L16N5296,12,4055,16,5296,1942,100,2621,2718,Inter,0.7144959529065489
L12N4055_L17N6042,12,4055,17,6042,1645,100,2621,2718,Inter,0.6052244297277409
L12N4055_L22N8140,12,4055,22,8140,2621,100,2621,2704,Inter,0.9693047337278107
L12N4056_L16N5307,12,4056,16,5307,2456,100,2620,2596,Inter,0.9374045801526718
L12N4057_L13N4616,13,4616,12,4057,933,98.392,2343,2618,Inter,0.3506483422459893
L12N4058_L13N4586,12,4058,13,4586,1800,100,2608,2608,Inter,0.6901840490797546
L12N4058_L16N5305,12,4058,16,5305,1790,100,2608,2608,Inter,0.6863496932515337
L12N4058_L17N6054,12,4058,17,6054,2097,100,2608,2608,Inter,0.8040644171779141
L12N4058_L22N8147,12,4058,22,8147,2568,100,2608,2608,Inter,0.9846625766871165
L12N4060_L13N4589,12,4060,13,4589,2551,100,2594,2594,Inter,0.9834232845026986
L12N4060_L20N7240,12,4060,20,7240,1781,99.944,2594,2594,Inter,0.6861999383191981
L12N4060_L21N7628,21,7628,12,4060,1559,100,2594,2594,Inter,0.6010023130300693
L12N4060_L22N8151,12,4060,22,8151,2029,100,2594,2594,Inter,0.78218966846569
L12N4060_L5N397,5,397,12,4060,2594,99.961,2594,2594,Inter,0.99961
L12N4062_L13N4592,12,4062,13,4592,2341,100,2573,2573,Inter,0.9098328799067237
L12N4064_L13N4595,13,4595,12,4064,1385,99.639,2539,2568,Inter,0.5373832359813084
L12N4064_L20N7242,20,7242,12,4064,2332,99.657,2571,2568,Inter,0.9039289148191365
L12N4064_L21N7631,21,7631,12,4064,1480,99.73,2570,2568,Inter,0.5743206225680934
L12N4065_L16N5316,16,5316,12,4065,2463,99.919,2543,2542,Inter,0.9677565749115219
L12N4065_L18N6734,18,6734,12,4065,2357,100,2542,2542,Inter,0.9272226593233674
L12N4065_L20N7245,20,7245,12,4065,2502,100,2542,2542,Inter,0.98426435877262
L12N4065_L21N7632,12,4065,21,7632,2542,99.843,2542,2542,Inter,0.99843
L12N4065_L5N398,5,398,12,4065,1571,100,2542,2542,Inter,0.6180173092053501
L12N4066_L20N7237,12,4066,20,7237,2039,99.804,2534,2640,Inter,0.7708346818181818
L12N4068_L22N8158,12,4068,22,8158,1456,99.725,2510,2510,Inter,0.5784844621513944
L12N4070_L13N4599,13,4599,12,4070,2405,100,2487,2487,Inter,0.9670285484519502
L12N4070_L16N5321,16,5321,12,4070,2153,100,2487,2487,Inter,0.8657016485725774
L12N4070_L17N6066,12,4070,17,6066,2431,100,2487,2487,Inter,0.9774829111379172
L12N4070_L20N7261,20,7261,12,4070,1585,100,2384,2487,Inter,0.6373140329714515
L12N4070_L21N7637,12,4070,21,7637,2096,100,2487,2487,Inter,0.8427824688379574
L12N4070_L22N8162,12,4070,22,8162,1605,99.813,2487,2487,Inter,0.644149034981906
L12N4071_L12N4089,12,4071,12,4089,2394,100,2479,2392,Intra,0.9657119806373538
L12N4072_L8N1490,12,4072,8,1490,2474,99.879,2474,2564,Inter,0.9637310686427458
L12N4075_L21N7653,21,7653,12,4075,2171,99.908,2357,2446,Inter,0.8867549795584627
L12N408_L20N7255,20,7255,12,408,905,93.591,2422,2312,Inter,0.3497103839801816
L12N4082_L13N4607,13,4607,12,4082,1826,100,2415,2415,Inter,0.7561076604554865
L12N4082_L20N7256,20,7256,12,4082,1450,100,2415,2415,Inter,0.6004140786749482
L12N4083_L13N4613,12,4083,13,4613,2355,99.915,2409,2359,Inter,0.9767531133250312
L12N4083_L17N6096,12,4083,17,6096,2059,99.903,2409,2273,Inter,0.8538824283935244
L12N4084_L8N1516,8,1516,12,4084,1412,99.363,2411,2409,Inter,0.5819185234342596
L12N4085_L5N401,5,401,12,4085,2224,100,2409,2409,Inter,0.9232046492320465
L12N4086_L16N5342,12,4086,16,5342,1490,99.597,2406,2311,Inter,0.6167894014962593
L12N4086_L18N6741,18,6741,12,4086,1825,100,2406,2406,Inter,0.758520365752286
L12N4086_L22N8170,22,8170,12,4086,1031,100,2367,2406,Inter,0.8254348295926849
L12N4087_L18N6742,12,4087,18,6742,2098,99.952,2406,2405,Inter,0.8715681463009144
